GameID,Team,OpposingTeam,WinLoss,GoalsScored,GoalsConceded,GameType,GameDate,Stadium,City,Country,Year
101,France,Mexico ,W,4,1,Group,07/13/30, Estadio Pocitos, Montevideo,Uruguay,1930
101,Mexico ,France,L,1,4,Group,07/13/30, Estadio Pocitos, Montevideo,Uruguay,1930
102,United States,Belgium ,W,3,0,Group,07/13/30, Estadio Parque Central, Montevideo,Uruguay,1930
102,Belgium ,United States,L,0,3,Group,07/13/30, Estadio Parque Central, Montevideo,Uruguay,1930
103,Yugoslavia,Brazil ,W,2,1,Group,07/14/30, Estadio Parque Central, Montevideo,Uruguay,1930
103,Brazil ,Yugoslavia,L,1,2,Group,07/14/30, Estadio Parque Central, Montevideo,Uruguay,1930
104,Romania,Peru ,W,3,1,Group,07/14/30, Estadio Pocitos, Montevideo,Uruguay,1930
104,Peru ,Romania,L,1,3,Group,07/14/30, Estadio Pocitos, Montevideo,Uruguay,1930
105,Argentina,France ,W,1,0,Group,07/15/30, Estadio Parque Central, Montevideo,Uruguay,1930
105,France ,Argentina,L,0,1,Group,07/15/30, Estadio Parque Central, Montevideo,Uruguay,1930
106,Chile,Mexico ,W,3,0,Group,07/16/30, Estadio Parque Central, Montevideo,Uruguay,1930
106,Mexico ,Chile,L,0,3,Group,07/16/30, Estadio Parque Central, Montevideo,Uruguay,1930
107,Yugoslavia,Bolivia ,W,4,0,Group,07/17/30, Estadio Parque Central, Montevideo,Uruguay,1930
107,Bolivia ,Yugoslavia,L,0,4,Group,07/17/30, Estadio Parque Central, Montevideo,Uruguay,1930
108,United States,Paraguay ,W,3,0,Group,07/17/30, Estadio Parque Central, Montevideo,Uruguay,1930
108,Paraguay ,United States,L,0,3,Group,07/17/30, Estadio Parque Central, Montevideo,Uruguay,1930
109,Uruguay,Peru ,W,1,0,Group,07/18/30, Estadio Centenario, Montevideo,Uruguay,1930
109,Peru ,Uruguay,L,0,1,Group,07/18/30, Estadio Centenario, Montevideo,Uruguay,1930
110,Chile,France ,W,1,0,Group,07/19/30, Estadio Centenario, Montevideo,Uruguay,1930
110,France ,Chile,L,0,1,Group,07/19/30, Estadio Centenario, Montevideo,Uruguay,1930
