checkbox,combobox,date,listbox,radio,slider,textbox,total
FALSE,2,03/09/11 0:00,1,1,0,textbox1,7
TRUE,2,04/20/11 0:00,2,2,2,textbox2,15
FALSE,6,01/02/12 0:00,9,1,3,textbox8,29
FALSE,6,01/02/12 0:00,9,1,3,textbox8,29
TRUE,9,01/07/12 0:00,8,1,9,textbox1,31
TRUE,9,01/07/12 0:00,8,1,9,textbox1,31
TRUE,1,01/08/12 0:00,9,2,1,textbox10,26
TRUE,1,01/08/12 0:00,9,2,1,textbox10,26
TRUE,7,01/09/12 0:00,6,2,5,textbox1,24
TRUE,7,01/09/12 0:00,6,2,5,textbox1,24
FALSE,5,01/13/12 0:00,3,2,9,textbox9,30
FALSE,6,01/16/12 0:00,3,1,8,textbox6,26
FALSE,6,01/21/12 0:00,4,2,3,textbox7,24
FALSE,6,01/21/12 0:00,4,2,3,textbox7,24
TRUE,3,01/21/12 0:00,9,1,1,textbox1,18
TRUE,3,01/21/12 0:00,9,1,1,textbox1,18
TRUE,8,01/27/12 0:00,7,2,3,textbox10,33
FALSE,1,01/29/12 0:00,1,1,10,textbox6,21
TRUE,7,02/03/12 0:00,8,2,5,textbox1,27
TRUE,7,02/03/12 0:00,8,2,5,textbox1,27
TRUE,8,02/15/12 0:00,3,2,2,textbox5,24
FALSE,8,02/23/12 0:00,8,1,2,textbox10,32
FALSE,3,03/02/12 0:00,3,2,5,textbox8,25
FALSE,3,03/02/12 0:00,3,2,5,textbox8,25
FALSE,8,03/03/12 0:00,2,2,2,textbox2,20
TRUE,7,03/11/12 0:00,3,2,1,textbox7,25
TRUE,7,03/11/12 0:00,3,2,1,textbox7,25
FALSE,6,03/12/12 0:00,10,2,2,textbox10,34
FALSE,7,03/13/12 0:00,1,1,6,textbox8,27
FALSE,7,03/13/12 0:00,1,1,6,textbox8,27
TRUE,2,03/26/12 0:00,1,2,6,textbox9,25
TRUE,2,03/26/12 0:00,1,2,6,textbox9,25
FALSE,7,03/27/12 0:00,1,2,10,textbox6,30
TRUE,10,03/27/12 0:00,1,1,10,textbox7,34
TRUE,10,03/27/12 0:00,1,1,10,textbox7,34
FALSE,4,04/03/12 0:00,10,1,7,textbox1,28
FALSE,10,04/13/12 0:00,3,1,2,textbox10,31
TRUE,8,04/14/12 0:00,7,1,5,textbox2,29
TRUE,8,04/14/12 0:00,7,1,5,textbox2,29
TRUE,2,04/20/12 0:00,7,1,7,textbox9,32
TRUE,2,04/20/12 0:00,7,1,7,textbox9,32
TRUE,7,04/21/12 0:00,8,1,8,textbox10,40
TRUE,5,04/21/12 0:00,1,2,10,textbox5,29
TRUE,7,04/21/12 0:00,8,1,8,textbox10,40
TRUE,5,04/21/12 0:00,1,2,10,textbox5,29
TRUE,8,04/26/12 0:00,3,2,5,textbox6,30
