category1,category2,category3,category4,category5,category6,mapName
World,World,,,,,worldwoantarctica
World,World With Antarctica,,,,,world
Africa,Africa,,,,,africa
Africa,Eastern Africa,Eastern Africa,,,,easternafrica
Africa,Eastern Africa,Countries,Burundi ,,,BDI
Africa,Eastern Africa,Countries,Djibouti ,,,DJI
Africa,Eastern Africa,Countries,Eritrea ,,,ERI
Africa,Eastern Africa,Countries,Ethiopia ,,,ETH
Africa,Eastern Africa,Countries,Kenya ,,,KEN
Africa,Eastern Africa,Countries,Madagascar ,,,MDG
Africa,Eastern Africa,Countries,Malawi ,,,MWI
Africa,Eastern Africa,Countries,Mozambique ,,,MOZ
Africa,Eastern Africa,Countries,Rwanda ,,,RWA
Africa,Eastern Africa,Countries,Somalia ,,,SOM
Africa,Eastern Africa,Countries,Uganda ,,,UGA
Africa,Eastern Africa,Countries,"Tanzania, United Republic of ",,,TZA
Africa,Eastern Africa,Countries,Zambia ,,,ZMB
Africa,Eastern Africa,Countries,Zimbabwe ,,,ZWE
Africa,Central Africa,Central Africa,,,,centralafrica
Africa,Central Africa,Countries,Angola ,,,AGO
Africa,Central Africa,Countries,Cameroon ,,,CMR
Africa,Central Africa,Countries,Central African Republic ,,,CAF
Africa,Central Africa,Countries,Chad ,,,TCD
Africa,Central Africa,Countries,Congo ,,,COG
Africa,Central Africa,Countries,Congo (Democratic Republic of the) ,,,COD
Africa,Central Africa,Countries,Equatorial Guinea ,,,GNQ
Africa,Central Africa,Countries,Gabon ,,,GAB
Africa,Northern Africa,Northern Africa,,,,northernafrica
Africa,Northern Africa,Countries,Algeria,,,DZA
Africa,Northern Africa,Countries,Egypt ,,,EGY
Africa,Northern Africa,Countries,Libya ,,,LBY
Africa,Northern Africa,Countries,Morocco ,,,MAR
Africa,Northern Africa,Countries,Sudan ,,,SDN
Africa,Northern Africa,Countries,Tunisia ,,,TUN
Africa,Southern Africa,Southern Africa,,,,southernafrica
Africa,Southern Africa,Countries,Botswana ,,,BWA
Africa,Southern Africa,Countries,Lesotho ,,,LSO
Africa,Southern Africa,Countries,Namibia ,,,NAM
Africa,Southern Africa,Countries,South Africa ,,,ZAF
Africa,Southern Africa,Countries,Swaziland ,,,SWZ
Africa,Western Africa,Western Africa,,,,westernafrica
Africa,Western Africa,Countries,Benin ,,,BEN
Africa,Western Africa,Countries,Burkina Faso ,,,BFA
Africa,Western Africa,Countries,Cote d'Ivoire ,,,CIV
Africa,Western Africa,Countries,Gambia ,,,GMB
Africa,Western Africa,Countries,Ghana ,,,GHA
Africa,Western Africa,Countries,Guinea ,,,GIN
Africa,Western Africa,Countries,Guinea-Bissau ,,,GNB
Africa,Western Africa,Countries,Liberia ,,,LBR
Africa,Western Africa,Countries,Mali ,,,MLI
Africa,Western Africa,Countries,Mauritania ,,,MRT
Africa,Western Africa,Countries,Niger ,,,NER
Africa,Western Africa,Countries,Nigeria ,,,NGA
Africa,Western Africa,Countries,Senegal ,,,SEN
Africa,Western Africa,Countries,Sierra Leone ,,,SLE
Africa,Western Africa,Countries,Togo ,,,TGO
Americas,Americas,,,,,americas
Americas,Latin America and the Caribbean,Caribbean,Caribbean,,,caribbean
Americas,Latin America and the Caribbean,Caribbean,Countries,Antigua and Barbuda ,,ATG
Americas,Latin America and the Caribbean,Caribbean,Countries,Bahamas ,,BHS
Americas,Latin America and the Caribbean,Caribbean,Countries,Barbados ,,BRB
Americas,Latin America and the Caribbean,Caribbean,Countries,Cuba ,,CUB
Americas,Latin America and the Caribbean,Caribbean,Countries,Curacao ,,CUW
Americas,Latin America and the Caribbean,Caribbean,Countries,Dominica ,,DMA
Americas,Latin America and the Caribbean,Caribbean,Countries,Dominican Republic ,,DOM
Americas,Latin America and the Caribbean,Caribbean,Countries,Grenada ,,GRD
Americas,Latin America and the Caribbean,Caribbean,Countries,Haiti ,,HTI
Americas,Latin America and the Caribbean,Caribbean,Countries,Jamaica ,,JAM
Americas,Latin America and the Caribbean,Caribbean,Countries,Montserrat ,,MSR
Americas,Latin America and the Caribbean,Caribbean,Countries,Puerto Rico ,,PRI
Americas,Latin America and the Caribbean,Caribbean,Countries,Saint Kitts and Nevis ,,KNA
Americas,Latin America and the Caribbean,Caribbean,Countries,Trinidad and Tobago ,,TTO
Americas,Latin America and the Caribbean,Central America,Central America,,,centralamerica
Americas,Latin America and the Caribbean,Central America,Countries,Belize ,,BLZ
Americas,Latin America and the Caribbean,Central America,Countries,Costa Rica ,,CRI
Americas,Latin America and the Caribbean,Central America,Countries,El Salvador ,,SLV
Americas,Latin America and the Caribbean,Central America,Countries,Guatemala ,,GTM
Americas,Latin America and the Caribbean,Central America,Countries,Honduras ,,HND
Americas,Latin America and the Caribbean,Central America,Countries,Nicaragua ,,NIC
Americas,Latin America and the Caribbean,Central America,Countries,Panama ,,PAN
Americas,Latin America and the Caribbean,Central America,Countries,Mexico ,,MEX
Americas,Latin America and the Caribbean,South America,South America,,,southamerica
Americas,Latin America and the Caribbean,South America,Countries,Argentina ,,ARG
Americas,Latin America and the Caribbean,South America,Countries,Bolivia,,BOL
Americas,Latin America and the Caribbean,South America,Countries,Brazil ,,BRA
Americas,Latin America and the Caribbean,South America,Countries,Chile ,,CHL
Americas,Latin America and the Caribbean,South America,Countries,Colombia ,,COL
Americas,Latin America and the Caribbean,South America,Countries,Ecuador ,,ECU
Americas,Latin America and the Caribbean,South America,Countries,Falkland Islands (Malvinas) ,,FLK
Americas,Latin America and the Caribbean,South America,Countries,Guyana ,,GUY
Americas,Latin America and the Caribbean,South America,Countries,Paraguay ,,PRY
Americas,Latin America and the Caribbean,South America,Countries,Peru ,,PER
Americas,Latin America and the Caribbean,South America,Countries,Suriname ,,SUR
Americas,Latin America and the Caribbean,South America,Countries,Uruguay ,,URY
Americas,Latin America and the Caribbean,South America,Countries,Venezuela,,VEN
Americas,Northern America,Northern America,,,,northernamerica
Americas,Northern America,Countries,Canada,,,CAN
Americas,Northern America,Countries,Greenland,,,GRL
Americas,Northern America,Countries,Saint Pierre and Miquelon,,,SPM
Americas,Northern America,Countries,USA,USA States,,USA
Americas,Northern America,Countries,USA,USA Counties,,SC_USACounties
Americas,Northern America,Countries,USA,Alaska,County,SC_AK
Americas,Northern America,Countries,USA,Alaska,Zip,SC_ZipAK
Americas,Northern America,Countries,USA,Alabama,County,SC_AL
Americas,Northern America,Countries,USA,Alabama,Zip,SC_ZipAL
Americas,Northern America,Countries,USA,Arkansas,County,SC_AR
Americas,Northern America,Countries,USA,Arkansas,Zip,SC_ZipAR
Americas,Northern America,Countries,USA,Arizona,County,SC_AZ
Americas,Northern America,Countries,USA,Arizona,Zip,SC_ZipAZ
Americas,Northern America,Countries,USA,California,County,SC_CA
Americas,Northern America,Countries,USA,California,Zip,SC_ZipCA
Americas,Northern America,Countries,USA,Colorado,County,SC_CO
Americas,Northern America,Countries,USA,Colorado,Zip,SC_ZipCO
Americas,Northern America,Countries,USA,Connecticut,County,SC_CT
Americas,Northern America,Countries,USA,Connecticut,Zip,SC_ZipCT
Americas,Northern America,Countries,USA,District of Columbia,County,SC_DC
Americas,Northern America,Countries,USA,District of Columbia,Zip,SC_ZipDC
Americas,Northern America,Countries,USA,Delaware,County,SC_DE
Americas,Northern America,Countries,USA,Delaware,Zip,SC_ZipDE
Americas,Northern America,Countries,USA,Florida,County,SC_FL
Americas,Northern America,Countries,USA,Florida,Zip,SC_ZipFL
Americas,Northern America,Countries,USA,Georgia,County,SC_GA
Americas,Northern America,Countries,USA,Georgia,Zip,SC_ZipGA
Americas,Northern America,Countries,USA,Hawaii,County,SC_HI
Americas,Northern America,Countries,USA,Hawaii,Zip,SC_ZipHI
Americas,Northern America,Countries,USA,Iowa,County,SC_IA
Americas,Northern America,Countries,USA,Iowa,Zip,SC_ZipIA
Americas,Northern America,Countries,USA,Idaho,County,SC_ID
Americas,Northern America,Countries,USA,Idaho,Zip,SC_ZipID
Americas,Northern America,Countries,USA,Illinois,County,SC_IL
Americas,Northern America,Countries,USA,Illinois,Zip,SC_ZipIL
Americas,Northern America,Countries,USA,Indiana,County,SC_IN
Americas,Northern America,Countries,USA,Indiana,Zip,SC_ZipIN
Americas,Northern America,Countries,USA,Kansas,County,SC_KS
Americas,Northern America,Countries,USA,Kansas,Zip,SC_ZipKS
Americas,Northern America,Countries,USA,Kentucky,County,SC_KY
Americas,Northern America,Countries,USA,Kentucky,Zip,SC_ZipKY
Americas,Northern America,Countries,USA,Louisiana,County,SC_LA
Americas,Northern America,Countries,USA,Louisiana,Zip,SC_ZipLA
Americas,Northern America,Countries,USA,Massachusetts,County,SC_MA
Americas,Northern America,Countries,USA,Massachusetts,Zip,SC_ZipMA
Americas,Northern America,Countries,USA,Maryland,County,SC_MD
Americas,Northern America,Countries,USA,Maryland,Zip,SC_ZipMD
Americas,Northern America,Countries,USA,Maine,County,SC_ME
Americas,Northern America,Countries,USA,Maine,Zip,SC_ZipME
Americas,Northern America,Countries,USA,Michigan,County,SC_MI
Americas,Northern America,Countries,USA,Michigan,Zip,SC_ZipMI
Americas,Northern America,Countries,USA,Minnesota,County,SC_MN
Americas,Northern America,Countries,USA,Minnesota,Zip,SC_ZipMN
Americas,Northern America,Countries,USA,Missouri,County,SC_MO
Americas,Northern America,Countries,USA,Missouri,Zip,SC_ZipMO
Americas,Northern America,Countries,USA,Mississippi,County,SC_MS
Americas,Northern America,Countries,USA,Mississippi,Zip,SC_ZipMS
Americas,Northern America,Countries,USA,Montana,County,SC_MT
Americas,Northern America,Countries,USA,Montana,Zip,SC_ZipMT
Americas,Northern America,Countries,USA,North Carolina,County,SC_NC
Americas,Northern America,Countries,USA,North Carolina,Zip,SC_ZipNC
Americas,Northern America,Countries,USA,North Dakota,County,SC_ND
Americas,Northern America,Countries,USA,North Dakota,Zip,SC_ZipND
Americas,Northern America,Countries,USA,Nebraska,County,SC_NE
Americas,Northern America,Countries,USA,Nebraska,Zip,SC_ZipNE
Americas,Northern America,Countries,USA,New Hampshire,County,SC_NH
Americas,Northern America,Countries,USA,New Hampshire,Zip,SC_ZipNH
Americas,Northern America,Countries,USA,New Jersey,County,SC_NJ
Americas,Northern America,Countries,USA,New Jersey,Zip,SC_ZipNJ
Americas,Northern America,Countries,USA,New Mexico,County,SC_NM
Americas,Northern America,Countries,USA,New Mexico,Zip,SC_ZipNM
Americas,Northern America,Countries,USA,Nevada,County,SC_NV
Americas,Northern America,Countries,USA,Nevada,Zip,SC_ZipNV
Americas,Northern America,Countries,USA,New York,County,SC_NY
Americas,Northern America,Countries,USA,New York,Zip,SC_ZipNY
Americas,Northern America,Countries,USA,Ohio,County,SC_OH
Americas,Northern America,Countries,USA,Ohio,Zip,SC_ZipOH
Americas,Northern America,Countries,USA,Oklahoma,County,SC_OK
Americas,Northern America,Countries,USA,Oklahoma,Zip,SC_ZipOK
Americas,Northern America,Countries,USA,Oregon,County,SC_OR
Americas,Northern America,Countries,USA,Oregon,Zip,SC_ZipOR
Americas,Northern America,Countries,USA,Pennsylvania,County,SC_PA
Americas,Northern America,Countries,USA,Pennsylvania,Zip,SC_ZipPA
Americas,Northern America,Countries,USA,Rhode Island,County,SC_RI
Americas,Northern America,Countries,USA,Rhode Island,Zip,SC_ZipRI
Americas,Northern America,Countries,USA,South Carolina,County,SC_SC
Americas,Northern America,Countries,USA,South Carolina,Zip,SC_ZipSC
Americas,Northern America,Countries,USA,South Dakota,County,SC_SD
Americas,Northern America,Countries,USA,South Dakota,Zip,SC_ZipSD
Americas,Northern America,Countries,USA,Tennessee,County,SC_TN
Americas,Northern America,Countries,USA,Tennessee,Zip,SC_ZipTN
Americas,Northern America,Countries,USA,Texas,County,SC_TX
Americas,Northern America,Countries,USA,Texas,Zip,SC_ZipTX
Americas,Northern America,Countries,USA,Utah,County,SC_UT
Americas,Northern America,Countries,USA,Utah,Zip,SC_ZipUT
Americas,Northern America,Countries,USA,Virginia,County,SC_VA
Americas,Northern America,Countries,USA,Virginia,Zip,SC_ZipVA
Americas,Northern America,Countries,USA,Vermont,County,SC_VT
Americas,Northern America,Countries,USA,Vermont,Zip,SC_ZipVT
Americas,Northern America,Countries,USA,Washington,County,SC_WA
Americas,Northern America,Countries,USA,Washington,Zip,SC_ZipWA
Americas,Northern America,Countries,USA,Wisconsin,County,SC_WI
Americas,Northern America,Countries,USA,Wisconsin,Zip,SC_ZipWI
Americas,Northern America,Countries,USA,West Virginia,County,SC_WV
Americas,Northern America,Countries,USA,West Virginia,Zip,SC_ZipWV
Americas,Northern America,Countries,USA,Wyoming,County,SC_WY
Americas,Northern America,Countries,USA,Wyoming,Zip,SC_ZipWY
Asia,Asia,,,,,asia
Asia,Central Asia,Central Asia,,,,centralasia
Asia,Central Asia,Countries,Kazakhstan ,,,KAZ
Asia,Central Asia,Countries,Kyrgyzstan ,,,KGZ
Asia,Central Asia,Countries,Tajikistan ,,,TJK
Asia,Central Asia,Countries,Turkmenistan ,,,TKM
Asia,Central Asia,Countries,Uzbekistan ,,,UZB
Asia,Eastern Asia,Eastern Asia,,,,easternasia
Asia,Eastern Asia,Countries,China ,,,CHN
Asia,Eastern Asia,Countries,Hong Kong ,,,HKG
Asia,Eastern Asia,Countries,Taiwan,,,TWN
Asia,Eastern Asia,Countries,Japan ,,,JPN
Asia,Eastern Asia,Countries,Macao ,,,MAC
Asia,Eastern Asia,Countries,Mongolia ,,,MNG
